,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT,BDX
AET,0.9727287629734191,0.9390009633818567,0.9376381440638314,0.9546935182298152,0.9547723371197337,0.9153795940546072,0.9657859354741287,-0.31528086630848523,0.8444300389456227,-0.22344700880260507,1.0,0.8392442574016578,0.930679855947949,0.7372829110895183,0.9599306051566742,0.3070469999449879,0.9329999800793954,0.8870912162637651,0.916414314844962,0.8075240556423511,0.6155214713393006,0.948872591863803,0.8570661252556185,0.859729249029062,0.9633481565792957,0.9470098413755299,0.9539540191500087,0.9524851280316207,0.9576767471545503,0.9423696808182184,0.9525752068162088,0.7003060807836343,0.9633756421964613,0.8519798624798507,-0.5647116748388777,0.9261085419959106,0.9665486630415621,0.9241024945912852,0.9116414294437466,0.9159809345909038,0.9277661243154358,0.9647402546844233,0.504267004983992,0.8023975124583599,0.9619385357892146,0.9142351931053553,0.9858517273278818,0.9637969715526924,0.9632639822873336,0.15709346040749256,0.9320342735163172,0.9275116251264841,0.6084030409389999,0.9239472697255725,0.8534484746293433,-0.46441579557366125,0.9310776775387406,0.9484542278188135,0.8591282359885719,0.9382566445278105,0.9487289603666486,0.8923372858844223,0.9209269825277079,0.8462793596329269,0.3751787651075999,0.9469868702694446,-0.07441271272151415,0.7186123890804472,0.9166404359705063,0.9130442514958452,0.9795118270277124
AMG,0.8474111415735752,0.9031998519290939,0.12975220418007025,0.8315535189332866,0.7145976093284205,0.7825592383942344,0.7505391039500728,-0.4350314930462984,0.846372187385238,-0.2148344435934535,0.8392442574016578,1.0,0.8784076525536171,0.626972501229799,0.8948393268249543,0.32624572856643896,0.7820629042152939,0.8023922225600154,0.807681615672389,0.8928801909367566,-0.3410822356663951,-0.3813666404065612,0.8286552132730524,0.9433710857372232,0.8426141540366066,0.8168272720435988,0.7768300040816715,0.7778004894694962,0.819158093396195,0.7218535323334935,0.7736232802567082,0.6415825530058724,0.8546485049896783,0.9396915744138431,-0.6177676584123716,0.8506942713013708,0.7065582552525687,0.9097282240552846,0.8944085590216478,0.9325901465382992,0.8038185156790958,0.869172680148874,0.8026042455919179,0.6281090028075396,0.8842242092404127,0.888288509063703,0.8171084381072599,0.8482074413503816,0.7724929367746779,0.39481246496376066,0.8345193169619843,0.8538553483937852,0.3279446858956164,0.6872110602186858,0.9142163316228652,-0.4525323297915539,0.8694775980677153,0.766499220387461,0.8159980452485552,0.806430422252448,0.8215101149770647,0.8513537683047407,0.8923534836671334,0.5660019881525438,0.5369606210036778,0.8862188550662271,-0.14980626926589047,0.5439197262763704,0.8072991801089556,0.8237286853109044,0.8383475925807852
AFL,0.9354524796917363,0.9114626118835609,0.8848374574543727,0.9231981968889009,0.8995532550446749,0.8691692432141837,0.8947321877562554,-0.4126315986475987,0.8135265930144255,-0.2539989141435157,0.930679855947949,0.8784076525536171,1.0,0.6839476204017342,0.9557039957321407,0.26412979846567197,0.8433429439498275,0.9202450291885405,0.9288702293780117,0.7929024467159161,0.12749967710207152,0.8990149776761295,0.7827374537567218,0.8537381009549295,0.9317930078128512,0.8874456149786094,0.9351312442683113,0.9365544697182809,0.9103844958160549,0.8818890662165522,0.8893840460281458,0.561804998323431,0.9289846917729534,0.8601269691036494,-0.651350704508119,0.9083343174250578,0.9016108043144627,0.9053895822780312,0.8672232140442144,0.9284914758003664,0.831304588271918,0.9460064585593825,0.6651001811123274,0.7034359659438519,0.8941618376608719,0.9396604130139478,0.8960678466358406,0.9245067835978806,0.8958946377486987,0.4038440824459306,0.889370800008627,0.8959336201113508,0.4848446595662842,0.8930046656641976,0.8970617199699803,-0.4725374743942052,0.9084840937522145,0.9310696226172528,0.8590214563466696,0.9218069439429036,0.8853336050988977,0.8618844444835684,0.920764544562515,0.7340332738631058,0.4860128081608608,0.9271772960523726,-0.1096070263211272,0.6424688286870451,0.912705007163312,0.8751797042630716,0.9490207486757681
A,0.7461763669483273,0.7194303012954408,0.9064040762235126,0.9483903332621293,0.73907471089436,0.856947579631629,0.8005106145847458,0.018760035585283472,0.8059891793427068,0.2369145281229227,0.7372829110895183,0.626972501229799,0.6839476204017342,1.0,0.7123307300505899,0.689200357781153,0.7471919341393377,0.7321554429886419,0.6171934578414027,0.673674517844863,0.6371777694716128,0.8630211585521501,0.69254149537577,0.8597632557086984,0.7741429542087596,0.6733642173511066,0.9499313450482658,0.9519980134633597,0.738381358344085,0.783949344796012,0.659932413201736,0.6243047499351736,0.7556110035018028,0.747979222622474,-0.3590489627047771,0.840346284894943,0.9307147754147446,0.9392391460676441,0.6855751221929267,0.7114519472554987,0.7641886505666914,0.7710598219300826,0.3674363002037362,0.899268611863644,0.7107802032724774,0.7049662447815132,0.9274654286654507,0.7850909293960718,0.7733656123366239,0.004772631458672235,0.7297053788274761,0.7556269597170255,0.8264174359852063,0.868060973136986,0.5710179717521869,-0.3007525006260017,0.7284087135311825,0.9110944242739175,0.7924903894260851,0.7089117733561876,0.8082292551793707,0.6681838022166092,0.6855746101152281,0.7072191070302313,0.20907314750870346,0.7004769373505235,-0.23779303226469442,0.7069227205646051,0.7344134719692145,0.6275443952159561,0.7342708958353814
APD,0.970793640205779,0.964310095587442,0.9092683682633577,0.9692767474994297,0.9186059922257224,0.935153072389716,0.9119922030091,-0.46565610778225447,0.9118298103809903,-0.26629007683739314,0.9599306051566742,0.8948393268249543,0.9557039957321407,0.7123307300505899,1.0,0.3104075710273315,0.921903626141567,0.9156399306279136,0.9045592437172847,0.8823227438087283,0.6537274582700516,0.88718205486422,0.8840018990214501,0.9219755244492294,0.9703657664095552,0.8841528054578335,0.9648539802535774,0.9640685434403896,0.9665265748276683,0.9154320006746801,0.8874957650910112,0.595029018960408,0.9688222336683098,0.8700327457205348,-0.6995230335921461,0.9450454106424235,0.9503770271176801,0.9510882586210238,0.9480949975694619,0.9630930169492432,0.899224453940791,0.9833963895039979,0.6654462132817393,0.753051495195778,0.9348282170050168,0.9588550925105923,0.9352932978884252,0.9688182831792489,0.9373906904182819,0.3183312717260621,0.9157627722827222,0.9577253995096174,0.5031259690817731,0.9335691997988113,0.9143534484461907,-0.5432020210825979,0.9432473786949328,0.9216739142787853,0.8973356903840565,0.9024821411559252,0.9463196041276453,0.942823353082272,0.9574527336592009,0.7296643521977804,0.41032929514231264,0.9814505501184823,-0.22780375326892427,0.6463382441740976,0.9342315931491302,0.8662722321771168,0.980764100883691
AKAM,0.2922534060392683,0.30640853523948447,0.329084073909477,0.7871756024906419,0.26441978599545807,0.7865733952266929,0.3352996899028153,0.084809910096068,0.8370780996771245,0.34572611184406554,0.3070469999449879,0.32624572856643896,0.26412979846567197,0.689200357781153,0.3104075710273315,1.0,0.35744187151028034,0.2771089894681781,0.24234391003539027,0.38101298218085417,0.06322114413234742,-0.16081238382628357,0.37145621993240824,0.8469647032206826,0.3389415442801924,0.2335505926951223,0.7399720676265134,0.7380023939278862,0.3173148637174219,0.3199334719871005,0.20553443783696523,0.7113443127263555,0.30804081491979074,0.40441736528356936,-0.17672739180653343,0.4579206648462849,0.7013899318046124,0.8121921532645369,0.33131744089623283,0.323435599079072,0.3660644894424581,0.34467938997682657,0.21263058048856567,0.49266613721074326,0.34913065905419116,0.30287805308467003,0.7799947238208879,0.338728188121478,0.3158705465165963,0.0023825940749512297,0.3291023171678553,0.34586442274868184,0.46811696355951554,0.7327230451406834,0.3018371019510469,-0.12119928277956513,0.2549468727506009,0.7567284491698899,0.42305961306477485,0.27593110514683594,0.3642126011267154,0.32699309721387093,0.3242569015584997,0.28880949711711845,0.1155132990687813,0.30427808185529626,-0.19419786005944917,0.34072202135713225,0.260398044247826,0.1922948825298365,0.30682261294860597
ALK,0.9490300613836427,0.9222655119681812,0.7151282284930509,0.9497546387546154,0.9017835342861746,0.9547487095453899,0.9103555695309496,-0.32873844939835095,0.9204254748165666,-0.1714334696661206,0.9329999800793954,0.7820629042152939,0.8433429439498275,0.7471919341393377,0.921903626141567,0.35744187151028034,1.0,0.8116705640891826,0.7885247693120961,0.8681308526575661,-0.7691386287067065,0.763679995413176,0.9419326258951762,0.8925321106044248,0.9443070753189868,0.8695875829202662,0.9453119524489794,0.9419503318684685,0.9681146764763956,0.9351665706280271,0.8683688502993264,0.6599208922384158,0.9414368429005064,0.8178292485857859,-0.5579498579347644,0.9069582313147229,0.9389859478103144,0.9089758040026251,0.9482579285334308,0.8915226765641777,0.9630455686595877,0.9383772977660751,0.45414488398617325,0.8551237123747488,0.9194238512363666,0.8648368513046599,0.9228873231455064,0.9497058823088551,0.9635520014976225,-0.0007146678265983326,0.9099818867755787,0.9241587502890642,0.6049065453968444,0.8717099629130702,0.7708292021979385,-0.5304204489879671,0.9279926222870216,0.8982259345427047,0.8724119144149148,0.813877379060095,0.9701933274804311,0.9366923480534269,0.8871029311143415,0.7990095792131755,0.19826711167630356,0.936405062330411,-0.23852127218064012,0.693351810119884,0.8629557951143649,0.85399023842575,0.9335709936339197
ALB,0.9138898736843142,0.8910438228851023,0.7647289389624774,0.9264936531415576,0.9077649862171797,0.7842474340686153,0.8789514251467863,-0.4111532623866006,0.735444640984201,-0.25244032119589715,0.8870912162637651,0.8023922225600154,0.9202450291885405,0.7321554429886419,0.9156399306279136,0.2771089894681781,0.8116705640891826,1.0,0.8713885714599433,0.7628376407152452,-0.017056648618490662,0.8316272879904923,0.7072890177662869,0.7951510318981473,0.9349285097958697,0.806056019341206,0.8966449310421866,0.9008075079500856,0.9031021959886152,0.9115234849299427,0.8299854878336627,0.40973417530295364,0.9126441770200142,0.8216444014886022,-0.7140461377489837,0.926781803336603,0.8698178189603655,0.8292220229814552,0.8145314225349487,0.9182936035990412,0.7847254038039039,0.9414934950970653,0.6383270840424977,0.735691046142346,0.8227540184993661,0.9509811955658168,0.8469313238861214,0.9154699639753359,0.8950345348259231,0.37758789589104397,0.8499945221455079,0.9230487368066085,0.5436394396720368,0.6064069644568961,0.8173825561621962,-0.584939865091496,0.9153252829477779,0.8208059657357656,0.871895754620306,0.9050354651207656,0.8844774609165413,0.8369587335880477,0.9128102359886766,0.6910855106665826,0.35697373842239943,0.9106615828250804,-0.26968940519030904,0.5542787675850848,0.9410253063166275,0.8096633249711023,0.9244560743211047
ARE,0.8741937611855715,0.8375736156760488,0.8861746584988721,0.8570181614724267,0.8726126770524861,0.8145497811521121,0.8678534383771398,-0.30289088271251335,0.7331536749342761,-0.2747867649794207,0.916414314844962,0.807681615672389,0.9288702293780117,0.6171934578414027,0.9045592437172847,0.24234391003539027,0.7885247693120961,0.8713885714599433,1.0,0.6771472599674301,0.2879403197325114,0.9436217441975822,0.6831141696026231,0.7421650960033803,0.885907798583316,0.8909631361154404,0.8510979287395343,0.8507248510091708,0.8633458500556908,0.8249978777153022,0.9161268515369134,0.7032944835165378,0.8833591897320469,0.7801323116738882,-0.5573353399576506,0.8442313230403262,0.9006491983111319,0.799552722691031,0.7904777978127056,0.8388499680610275,0.765509385886922,0.882741794528907,0.5679272073513238,0.6248944112739466,0.8811680990881412,0.8642873198210912,0.9002536922269399,0.8546105422772858,0.8384148372680992,0.4027415992779289,0.9042125649969195,0.8335019428349844,0.4628119460371746,0.8073234579833405,0.879830771092002,-0.3486662174410045,0.8201561734987515,0.933503315484031,0.7898361825952193,0.946237633527432,0.8116845345103153,0.7850355471744483,0.9096276518577157,0.7406047352234034,0.6013242580562447,0.8707808551968446,0.07267755530266236,0.6227895576892925,0.8541111760121299,0.8723017882612438,0.9146385678058204
ALXN,0.8544316287503968,0.9262277666874895,0.16528649806709073,0.8774949274683842,0.7265426243192202,0.8603123660578577,0.7360562628281012,-0.5101179552335181,0.941209980536547,-0.18260894680640358,0.8075240556423511,0.8928801909367566,0.7929024467159161,0.673674517844863,0.8823227438087283,0.38101298218085417,0.8681308526575661,0.7628376407152452,0.6771472599674301,1.0,-0.8718891848856409,-0.5444418627723026,0.9426867583639745,0.9762330307264905,0.8631760135653734,0.7192562931174643,0.8116662251651434,0.8100257331085521,0.8727537845595248,0.7780468110739824,0.6973789898162313,0.4759770007452801,0.8644292380831011,0.8758825997584077,-0.7021110382705703,0.8851324439125887,0.7406207817319836,0.8618085323809695,0.9472003378308067,0.9361088140531872,0.8729754684488963,0.8790286969059853,0.7169991566165995,0.7128845371377934,0.8437820706134367,0.8815632940695777,0.7794021049222019,0.8725497455479323,0.8150217326591022,0.21340248310533316,0.7966526890413625,0.9114107506578969,0.354096132203577,0.633175722906891,0.8072125336444204,-0.6447267400207658,0.8887562685874003,0.7083437318585366,0.8480250410008201,0.6888152944646738,0.8795480711632955,0.9390227104314233,0.881018308295038,0.51443099455833,0.22755239754115736,0.9155495348431161,-0.45524048589963134,0.48126444031985094,0.7962955709131507,0.7298359347125448,0.8324592062764845
